Industry,BarbaraCorcoran,MarkCuban,LoriGreiner,Robert Herjavec,DaymondJohn,KevinO'Leary
Health / Wellness,4.0,7.0,5.0,5.0,2.0,4.0
Food and Beverage,29.0,33.0,18.0,10.0,14.0,13.0
Lifestyle / Home,12.0,22.0,34.0,12.0,10.0,15.0
Children / Education,7.0,13.0,16.0,9.0,7.0,10.0
Fashion / Beauty,16.0,23.0,21.0,16.0,24.0,6.0
Business Services,1.0,3.0,0.0,1.0,0.0,3.0
Fitness / Sports / Outdoors,7.0,17.0,6.0,14.0,10.0,5.0
Pet Products,3.0,2.0,7.0,4.0,6.0,4.0
Software / Tech,3.0,16.0,7.0,7.0,4.0,9.0
Media / Entertainment,2.0,5.0,2.0,4.0,3.0,2.0
Travel,1.0,1.0,0.0,2.0,1.0,0.0
Green/CleanTech,0.0,4.0,1.0,1.0,0.0,1.0
Automotive,0.0,3.0,2.0,3.0,3.0,1.0
Uncertain / Other,0.0,2.0,0.0,0.0,0.0,2.0
